PN;Assignee Name;Micron;IBM;Samsung;Toshiba;mean_cumulative_incl_unigram_red_linkage;mean_cumulative_incl_unigram_compl_linkage;mean_cumulative_incl_bigram_red_linkage;mean_cumulative_incl_bigram_compl_linkage;mean_preclusive_incl_unigram_red_linkage;mean_preclusive_incl_unigram_compl_linkage;mean_preclusive_incl_bigram_red_linkage;mean_preclusive_incl_bigram_compl_linkage;filing_year;grant_year
6077729;Micron Technology;1;0;0;0;0,212262891;0,403591466;0,031606168;0,032069585;4,458525509;2,377244733;120,6407618;299,2280735;1999;2000
6077732;Micron Technology;1;0;0;0;0,352272727;0,33145222;0,06284153;0,084097859;3,20833333;2,00049949;22,87500017;19,89682536;1998;2000
6077740;Micron Technology;1;0;0;0;0;0;0;0;3,331730773;3,871496927;25,50000018;16,04444445;1998;2000
6077755;Micron Technology;1;0;0;0;0;0;0;0;4,127609428;2,708739688;39,99999968;74,17857238;1998;2000
6077785;Micron Technology;1;0;0;0;0,203296703;0,187162756;0,027313267;0,02329581;5,551388892;4,251819227;142,1999994;321,8952379;1998;2000
6077790;Micron Technology;1;0;0;0;0,207070707;0,339975094;0,021097047;0,016098485;5,199999997;2,683835507;59,24999929;54,47618923;1997;2000
6077792;Micron Technology;1;0;0;0;0,253595997;0,290370549;0,025434243;0,03974359;5,388712746;6,530841789;267,5614039;701,0227038;1997;2000
6080032;Micron Technology;1;0;0;0;0,33;0,5315;0,080645161;0,069473684;6,5;3,071055801;46,50000026;110,8333316;1999;2000
6080645;Micron Technology;1;0;0;0;0,235294118;0,439285714;0,013888889;0,003891051;4,840238466;2,754124921;116,6666664;296,0352392;1996;2000
6080653;Micron Technology;1;0;0;0;0,285714286;0,415254237;0,052631579;0,066666667;302;1153;504;1424;1999;2000
6080655;Micron Technology;1;0;0;0;0,330357143;0,379330944;0,036036036;0,047701149;4,914882459;2,713650186;184,7799986;451,3773066;1997;2000
6080672;Micron Technology;1;0;0;0;0,156862745;0,210264267;0,00989011;0,007787325;3,642857142;2,220238094;21,66666674;66,49999993;1997;2000
6080675;Micron Technology;1;0;0;0;0;0;0;0;5,286961454;3,812103349;162,2857143;419,8531746;1999;2000
6082375;Micron Technology;1;0;0;0;0;0;0;0;5,219487179;8,996656651;213,3533333;593,2724978;1998;2000
6083767;Micron Technology;1;0;0;0;0,114285714;0,289156627;0,005714286;0,008695652;7,206818192;5,774229529;228,4333338;595,7396823;1998;2000
6083768;Micron Technology;1;0;0;0;0,25;0,426136364;0;0;8,783333337;7,997222204;394,7500002;1102,499999;1996;2000
6083773;Micron Technology;1;0;0;0;0,246212121;0,268836649;0,060606061;0,067375887;22,57517008;50,88015556;422,5119048;1175,775794;1997;2000
6083777;Micron Technology;1;0;0;0;0,091216216;0,202922078;0,004032258;0,009259259;10,79166668;5,161538461;504;1424;1999;2000
6083803;Micron Technology;1;0;0;0;0,267857143;0,36038961;0,028239203;0,030550775;5,485714286;3,026104416;504;1424;1998;2000
6083820;Micron Technology;1;0;0;0;0,337777778;0,44527972;0,046666667;0,052608696;4,015769943;3,722983013;51,42857066;84,88095382;1998;2000
6083821;Micron Technology;1;0;0;0;0;0;0;0;5,724183004;4,96084159;217,4117647;551,9215653;1998;2000
6083831;Micron Technology;1;0;0;0;0,328947368;0,552474869;0,052238806;0,048367834;4,680516706;2,418908901;52,11111156;41,45106283;1996;2000
6083849;Micron Technology;1;0;0;0;0,29;0,339837398;0,041860465;0,047260274;4,371428573;3,076654413;123,7333333;299,052381;1998;2000
6087239;Micron Technology;1;0;0;0;0,401960784;0,517825312;0,09;0,113247863;3,433116882;2,185323126;20,4978355;16,50183587;1996;2000
6087240;Micron Technology;1;0;0;0;0;0;0;0;4,100074271;3,576504955;34,46666635;72,16505994;1999;2000
6087254;Micron Technology;1;0;0;0;0,658536585;0,767467249;0,138297872;0,149553572;3,48174603;2,451011949;46,99999944;49,77777831;1996;2000
6087263;Micron Technology;1;0;0;0;0,215879605;0,360473458;0,011161637;0,013463415;302;1153;504;1424;1998;2000
6087270;Micron Technology;1;0;0;0;0,125;0,255707763;0,0125;0,007444169;9,00571431;3,445627399;419,2;1152,633334;1998;2000
6087273;Micron Technology;1;0;0;0;0,387878788;0,58013245;0,091666667;0,142944785;2,553536209;1,733124566;68,83516515;131,9084943;1999;2000
6087700;Micron Technology;1;0;0;0;0,365591398;0,636165577;0,024390244;0,031446541;2,624338624;1,648181646;185,0833333;495,6458329;1998;2000
6090636;Micron Technology;1;0;0;0;0,201166181;0,272718254;0,020933978;0,021720969;7,434187765;4,760945215;222,1190472;572,3621212;1998;2000
6090644;Micron Technology;1;0;0;0;0,409836065;0,586170213;0,061538462;0,081684982;6,115404037;3,770949818;183,9999967;339,3999999;1999;2000
6090647;Micron Technology;1;0;0;0;0,539473684;0,599078341;0,144230769;0,170212766;4,093467646;3,139338914;265,0000002;722,1477274;1998;2000
6090655;Micron Technology;1;0;0;0;0,209661836;0,270646766;0,018787879;0,021041667;6,930803563;4,704909256;54,34523858;36;1998;2000
6090670;Micron Technology;1;0;0;0;0,245421245;0,365919064;0,043526786;0,051984127;3,165584416;1,958072617;24;21,03896102;1997;2000
6090677;Micron Technology;1;0;0;0;0,15483871;0,116470588;0,004761905;0,003921569;5,545965599;4,197944055;262,4999999;722,9285714;1998;2000
6090683;Micron Technology;1;0;0;0;0,25;0,373697917;0,025735294;0,017901235;9,811904842;10,68211527;168,5000007;507,874989;1997;2000
